ID,Price,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags
45764581,21012,1195,MERCEDES-BENZ,Vito,2008,Microbus,No,Diesel,2.2 Turbo,179348 km,4.0,Manual,Rear,04-May,Left wheel,White,2
45763778,52059,1363,LEXUS,GX 460,2012,Jeep,Yes,Petrol,4.6,229334 km,8.0,Automatic,4x4,04-May,Left wheel,Black,0
45796573,12544,1185,SUBARU,Forester,2009,Jeep,No,Petrol,2.5,115000 km,6.0,Automatic,4x4,04-May,Left wheel,Black,12
45455263,16935,645,LEXUS,CT 200h,2011,Sedan,Yes,Hybrid,1.8,158000 km,4.0,Tiptronic,Front,04-May,Left wheel,Grey,8
45760560,22266,1399,TOYOTA,RAV 4,2010,Jeep,No,Petrol,3.5,160000 km,6.0,Automatic,Front,04-May,Left wheel,Silver,8
45798513,47042,-,CADILLAC,Escalade,2008,Jeep,Yes,LPG,6.2,288000 km,8.0,Tiptronic,Rear,04-May,Left wheel,Black,12
45798379,14113,-,TOYOTA,Prius,2005,Hatchback,Yes,Hybrid,1.5,2696320 km,4.0,Automatic,Front,04-May,Left wheel,Grey,6
45649715,3607,781,TOYOTA,Camry,2012,Sedan,Yes,Hybrid,2.5,156518 km,4.0,Automatic,Front,04-May,Left wheel,White,12
45813200,1098,639,VOLKSWAGEN,Tiguan,2014,Jeep,Yes,Petrol,2,58899 km,4.0,Automatic,4x4,04-May,Left wheel,Red,12
45815744,9408,-,MERCEDES-BENZ,E 320,2000,Sedan,Yes,CNG,3.2,192000 km,6.0,Tiptronic,4x4,04-May,Left wheel,Silver,6
45794590,6586,1701,NISSAN,Tiida 15 M,2010,Hatchback,No,Petrol,1.5,39000 km,4.0,Automatic,Front,04-May,Right-hand drive,Beige,4
45776951,11604,-,JEEP,Liberty,2003,Jeep,Yes,Petrol,2.4,0 km,4.0,Manual,4x4,04-May,Left wheel,Blue,8
45802587,39226,765,HYUNDAI,Santa FE,2015,Jeep,Yes,Diesel,2,147808 km,4.0,Automatic,Front,04-May,Left wheel,Grey,4
45758570,314,781,MAZDA,Eunos 500,2012,Sedan,Yes,Petrol,2.5,186450 km,4.0,Automatic,Front,04-May,Left wheel,Black,12
45642682,862,394,TOYOTA,Camry,2014,Sedan,Yes,Hybrid,2.5,130478 km,4.0,Automatic,Front,04-May,Left wheel,White,12
42728035,18503,-,MERCEDES-BENZ,C 180,2015,Sedan,No,Petrol,1.8 Turbo,72000 km,4.0,Tiptronic,Front,04-May,Left wheel,Red,9
45803644,17747,642,HYUNDAI,Tucson,2012,Jeep,Yes,Diesel,2,225117 km,4.0,Automatic,Front,04-May,Left wheel,Black,4
45648188,470,753,HYUNDAI,Sonata,2012,Sedan,Yes,Hybrid,2.4,202864 km,4.0,Automatic,Front,04-May,Left wheel,Blue,0
45724333,11604,629,HYUNDAI,Veloster,2015,Hatchback,No,Petrol,1.6,62000 km,4.0,Tiptronic,Front,02-Mar,Left wheel,Blue,12
45809728,22502,502,TOYOTA,Aqua,2013,Hatchback,Yes,Petrol,1.5,93810 km,4.0,Automatic,Front,04-May,Left wheel,White,4
45802770,33214,640,HYUNDAI,Santa FE,2013,Jeep,Yes,Diesel,2,79730 km,4.0,Automatic,Front,04-May,Left wheel,White,4
45802594,36567,765,HYUNDAI,Santa FE,2015,Jeep,Yes,Diesel,2,146844 km,4.0,Automatic,Front,04-May,Left wheel,Blue,4
45728096,549,585,LEXUS,CT 200h,2013,Hatchback,Yes,Hybrid,1.8,65989 km,4.0,Automatic,Front,04-May,Left wheel,Silver,12
45771752,40,-,TOYOTA,Prius,2008,Hatchback,No,Hybrid,1.5,200000 km,4.0,Variator,Front,04-May,Left wheel,White,4
45813593,8500,-,MERCEDES-BENZ,E 240,2001,Sedan,Yes,Petrol,2.4,0 km,6.0,Tiptronic,Rear,04-May,Right-hand drive,Golden,6
43743712,15000,2123,MAZDA,Axela,2017,Hatchback,No,Petrol,1.5,38000 km,4.0,Automatic,Front,04-May,Right-hand drive,Black,4
45766495,784,639,SUBARU,XV,2014,Jeep,Yes,Petrol,2,64923 km,4.0,Automatic,4x4,04-May,Left wheel,Orange,0
45730579,20266,531,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,134000 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
